Milk Peanut.Butter Bread Cereal Jelly
191 1 0 0 0 0
192 1 0 0 0 0
193 0 0 0 0 0
194 0 0 0 0 0
195 1 0 1 0 1
196 0 0 1 0 1
197 0 0 1 0 0
198 1 0 0 0 1
199 1 0 0 0 0
200 1 0 1 0 1
201 0 0 1 0 0
202 0 0 0 0 0
203 1 0 1 0 1
204 0 0 1 0 1
205 1 0 1 0 1
206 1 0 0 0 1
207 1 0 0 0 0
208 0 0 0 0 1
209 0 0 1 0 0
210 0 0 0 0 0
211 1 0 1 0 0
212 1 0 0 0 1
213 0 0 0 0 1
214 0 0 1 0 1
215 1 0 0 0 0
216 1 0 1 0 1
217 0 0 0 0 1
218 0 0 0 0 0
219 0 0 1 0 1
220 1 0 1 0 0
221 1 0 1 0 1
222 1 0 0 0 1
223 1 0 1 0 0
224 1 0 1 0 1
225 0 0 1 0 1
226 1 0 0 0 1
227 1 0 0 0 0
228 1 0 0 0 1
229 1 0 0 0 0
230 1 0 0 0 0
231 1 0 0 0 1
232 1 0 1 0 0
233 1 0 1 0 0
234 1 0 0 0 0
235 1 0 1 0 1
236 0 0 1 0 1
237 0 0 0 0 0
238 1 0 1 0 0
239 0 0 1 0 0
240 0 0 0 0 1
241 0 0 0 0 1
242 0 0 1 0 1
243 1 0 1 0 0
244 0 0 1 0 1
245 0 0 1 0 0
246 0 0 0 0 1
247 0 0 1 0 0
248 0 0 1 0 1
249 1 0 1 0 1
250 1 0 1 0 0
251 1 0 0 0 0
252 1 0 0 0 0
253 0 0 0 0 1
254 1 0 0 0 0
255 1 0 0 0 0
256 0 0 0 0 0
257 1 0 0 0 1
258 0 0 0 0 1
259 0 0 1 0 0
260 1 0 0 0 0
261 0 0 1 0 0
262 0 0 0 0 1
263 0 0 0 0 1
264 1 0 1 0 1
265 0 0 1 0 0
266 1 0 1 0 0
267 0 0 1 0 1
268 1 0 0 0 1
269 0 0 0 0 0
270 1 0 0 0 0
271 0 0 1 0 0
272 1 0 0 0 0
273 1 0 1 0 0
274 1 0 0 0 0
275 0 0 0 0 1
276 0 0 0 0 0
277 1 0 0 0 1
278 0 0 0 0 0
279 1 0 1 0 0
280 1 0 0 0 0
281 1 0 1 0 1
282 1 0 0 0 1
283 1 0 0 0 0
284 1 0 1 0 1
285 1 0 0 0 0
286 1 0 0 0 0
287 1 0 0 0 0
288 1 0 1 0 0
289 0 0 1 0 1
290 1 0 0 0 0
291 0 0 1 0 1
292 0 0 0 0 1
293 0 0 0 0 1
294 0 0 0 0 1
295 1 0 0 0 1
296 0 0 1 0 1
297 1 0 0 0 0
298 1 0 1 0 0
299 0 0 1 0 0
300 1 0 0 0 0
301 0 0 0 0 1
302 0 0 0 0 1
303 1 0 0 0 1
304 1 0 0 0 1
305 0 0 1 0 1
306 1 0 1 0 1
307 1 0 0 0 0
308 1 0 1 0 0
309 0 0 0 0 1
310 0 0 1 0 1
311 1 0 0 0 1
312 1 0 1 0 1
313 0 0 1 0 0
314 1 0 1 0 1
315 1 0 0 0 1
316 1 0 0 0 0
317 1 0 1 0 0
318 1 0 1 0 1
319 1 0 0 0 0
320 0 0 0 0 0
321 1 0 0 0 1
322 0 0 0 0 1
323 0 0 0 0 1
324 0 0 0 0 1
325 1 0 1 0 1
326 1 0 0 0 0
327 1 0 1 0 0
328 1 0 1 0 1
329 0 0 0 0 0
330 1 0 0 0 0
331 1 0 1 0 1
332 1 0 1 0 1
333 1 0 1 0 1
334 1 0 1 0 1
335 1 0 1 0 0
336 1 0 0 0 1
337 0 0 0 0 0
338 1 0 0 0 0
339 1 0 0 0 1
340 0 0 1 0 1
341 0 0 0 0 0
342 1 0 1 0 0
343 1 0 0 0 0
344 1 0 0 0 1
345 0 0 1 0 0
346 1 0 0 0 0
347 1 0 1 0 1
348 1 0 0 0 0
349 0 0 0 0 1
350 1 0 1 0 1
351 0 0 0 0 1
352 1 0 0 0 1
353 1 0 1 0 1
354 0 0 0 0 1
355 1 0 0 0 1
356 0 0 1 0 1
357 1 0 1 0 0
358 1 0 0 0 1
359 1 0 1 0 0
360 1 0 1 0 1
361 1 0 0 0 1
362 0 0 1 0 1
363 0 0 0 0 1
364 0 0 0 0 1
365 0 0 1 0 1
366 1 0 1 0 0
367 1 0 0 0 0
368 1 0 1 0 1
369 1 0 0 0 0
370 0 0 0 0 0
371 1 0 0 0 0
372 1 0 0 0 1
373 0 0 1 0 1
374 1 0 0 0 0
375 1 0 0 0 1
376 1 0 0 0 1
377 1 0 0 0 1
378 1 0 1 0 1
379 1 0 1 0 1
380 1 0 1 0 0
381 1 0 1 0 1
382 0 0 1 0 0
383 0 0 0 0 1
384 1 0 1 0 1
385 1 0 1 0 1
386 1 0 0 0 0
387 0 0 0 0 1
388 0 0 0 0 0
389 0 0 1 0 0
390 0 0 1 0 0
391 0 0 1 0 1
392 1 0 0 0 1
393 1 0 0 0 1
394 1 0 1 0 1
395 1 0 1 0 1
396 1 0 0 0 1
397 0 0 0 0 1
398 1 0 0 0 1
399 1 0 1 0 0
400 1 0 1 0 0
401 0 0 1 0 1
402 1 0 0 0 1
403 0 0 1 0 0
404 1 0 0 0 1
405 1 0 1 0 1
406 1 0 1 0 0
407 0 0 1 0 1
408 1 0 0 0 0
409 0 0 1 0 0
410 1 0 0 0 1
411 1 0 0 0 0
412 1 0 0 0 0
413 1 0 0 0 1
414 0 0 0 0 1
415 1 0 1 0 1
416 1 0 1 0 1
417 0 0 0 0 1
418 0 0 0 0 0
419 1 0 0 0 0
420 1 0 0 0 0
421 1 0 1 0 1
422 1 0 0 0 1
423 1 0 0 0 0
424 1 0 1 0 0
425 0 0 1 0 1
426 0 0 1 0 0
427 0 0 0 0 1
428 1 0 1 0 1
429 1 0 1 0 1
430 1 0 0 0 1
431 1 0 0 0 0
432 1 0 0 0 1
433 0 0 1 0 1
434 0 0 0 0 1
435 1 0 0 0 1
436 0 0 1 0 1
437 0 0 0 0 1
438 0 0 1 0 1
439 1 0 0 0 1
440 0 0 0 0 1
441 1 0 0 0 1
442 1 0 1 0 1
443 1 0 0 0 1
444 1 0 0 0 1
445 1 0 0 0 0
446 1 0 0 0 0
447 1 0 1 0 1
448 1 0 1 0 1
449 1 0 0 0 1
450 1 0 1 0 0
451 0 0 1 0 1
452 0 0 1 0 1
453 1 0 1 0 0
454 1 0 0 0 0
455 0 0 0 0 0
456 1 0 0 0 0
457 1 0 0 0 0
458 1 0 1 0 0
459 0 0 0 0 1
460 0 0 0 0 0
461 0 0 1 0 0
462 0 0 1 0 0
463 1 0 0 0 1
464 1 0 1 0 0
465 0 0 1 0 1
466 1 0 0 0 0
467 1 0 0 0 0
468 1 0 0 0 1
469 1 0 0 0 0
470 1 0 1 0 1
471 1 0 0 0 0
472 1 0 1 0 1
473 1 0 1 0 1
474 1 0 0 0 0
475 1 0 0 0 1
476 1 0 0 0 1
477 1 0 1 0 0
478 1 0 1 0 0
479 0 0 1 0 0
480 0 0 0 0 1
481 0 0 1 0 0
482 1 0 0 0 0
483 1 0 1 0 1
484 1 0 0 0 1
485 1 0 0 0 0
486 0 0 1 0 0
487 0 0 1 0 0
488 1 0 0 0 1
489 1 0 0 0 0
490 0 0 0 0 0
491 0 0 1 0 0
492 0 0 0 0 1
493 1 0 1 0 0
494 1 0 0 0 0
495 0 0 1 0 0
496 1 0 1 0 1
497 1 0 0 0 1
498 1 0 1 0 1
499 0 0 1 0 0
500 1 0 0 0 1
501 0 0 0 0 1
502 0 0 0 0 1
503 1 0 1 0 1
504 1 0 1 0 0
505 0 0 0 0 1
506 1 0 0 0 0
507 1 0 0 0 1
508 0 0 0 0 0
509 1 0 1 0 1
510 0 0 1 0 1
511 0 0 0 0 1
512 1 0 0 0 1
513 0 0 0 0 1
514 1 0 1 0 0
515 1 0 1 0 1
516 0 0 0 0 1
517 1 0 0 0 1
518 0 0 1 0 1
519 0 0 1 0 1
520 1 0 1 0 0
521 1 0 0 0 0
522 0 0 1 0 0
523 0 0 0 0 1
524 1 0 0 0 0
525 0 0 1 0 0
526 0 0 0 0 1
527 1 0 0 0 1
528 1 0 0 0 1
529 1 0 1 0 1
530 1 0 1 0 0
531 1 0 0 0 1
532 1 0 1 0 1
533 1 0 1 0 0
534 0 0 1 0 0
535 0 0 0 0 1
536 1 0 1 0 0
537 1 0 0 0 1
538 1 0 0 0 0
539 1 0 1 0 0
540 0 0 0 0 1
541 0 0 1 0 1
542 0 0 1 0 1
543 1 0 1 0 1
544 1 0 0 0 0
545 1 0 1 0 1
546 0 0 0 0 1
547 1 0 1 0 1
548 1 0 1 0 0
549 1 0 1 0 1
550 0 0 0 0 1
551 1 0 0 0 0
552 0 0 1 0 0
553 1 0 1 0 1
554 1 0 1 0 0
555 1 0 0 0 0
556 0 0 0 0 0
557 1 0 0 0 0
558 0 0 0 0 0
559 0 0 1 0 0
560 0 0 1 0 0
561 0 0 0 0 0
562 1 0 1 0 1
563 0 0 1 0 1
564 1 0 1 0 0
565 1 0 1 0 0
566 1 0 1 0 0
567 1 0 0 0 1
568 0 0 1 0 1
569 1 0 1 0 1
570 1 0 1 0 0
571 0 0 0 0 1
572 1 0 0 0 1
573 1 0 1 0 1
574 0 0 0 0 0
575 0 0 0 0 0
576 0 0 1 0 0
577 0 0 0 0 0
578 1 0 1 0 1
579 0 0 1 0 0
580 0 0 1 0 0
581 0 0 0 0 1
582 0 0 0 0 0
583 1 0 1 0 1
584 0 0 1 0 0
585 1 0 0 0 1
586 1 0 1 0 1
587 1 0 1 0 1
588 0 0 1 0 1
589 0 0 0 0 1
590 0 0 0 0 1
591 0 0 0 0 0
592 1 0 0 0 0
593 0 0 1 0 0
594 0 0 1 0 1
595 0 0 1 0 1
596 1 0 1 0 0
597 1 0 0 0 1
598 1 0 1 0 0
599 1 0 1 0 0
600 1 0 1 0 0
601 0 0 0 1 0
602 0 0 1 1 0
603 0 0 0 1 0
604 1 0 0 1 1
605 1 0 0 1 0
606 1 0 0 1 1
607 0 0 0 1 1
608 0 0 1 1 0
609 1 0 0 1 1
610 1 0 0 1 1
611 1 0 1 0 0
612 0 0 1 1 1
613 1 0 1 1 0
614 0 0 1 1 1
615 0 0 0 1 1
616 0 0 0 0 1
617 0 0 0 1 1
618 0 0 1 1 0
619 0 0 1 1 0
620 1 0 0 0 1
621 0 0 0 1 1
622 1 0 1 1 1
623 0 0 0 1 1
624 1 0 0 1 1
625 0 0 0 1 1
626 1 0 0 1 0
627 1 0 1 1 0
628 1 0 0 0 1
629 1 0 1 0 0
630 0 0 0 1 1
631 1 0 1 1 0
632 1 0 1 1 1
633 0 0 1 1 0
634 0 0 1 1 1
635 0 0 0 1 1
636 0 0 1 1 0
637 1 0 0 1 1
638 0 0 1 0 1
639 1 0 0 1 1
640 1 0 1 1 0
641 0 0 1 1 1
642 0 0 0 1 0
643 1 0 0 1 0
644 1 0 1 1 1
645 0 0 0 1 1
646 0 0 1 1 1
647 0 0 1 1 1
648 0 0 0 1 0
649 1 0 0 1 1
650 0 0 0 0 0
651 0 0 1 1 0
652 1 0 0 0 0
653 1 0 0 1 1
654 1 0 0 1 0
655 1 0 1 1 0
656 1 0 1 1 1
657 1 0 1 1 0
658 1 0 0 1 0
659 1 0 1 1 1
660 1 0 0 1 1
661 1 0 0 1 0
662 1 0 0 0 1
663 1 0 1 0 1
664 1 0 1 1 1
665 0 0 0 0 0
666 0 0 0 1 1
667 0 0 0 1 0
668 0 0 1 0 0
669 1 0 0 1 1
670 0 0 0 1 1
671 1 0 1 0 0
672 0 0 0 1 0
673 0 0 0 1 0
674 0 0 0 0 1
675 1 0 1 1 0
676 1 0 0 1 1
677 0 0 1 1 0
678 0 0 1 1 0
679 1 0 1 0 1
680 1 0 1 1 0
681 1 0 0 1 1
682 0 0 1 1 1
683 1 0 1 1 1
684 0 0 1 1 0
685 1 0 0 1 1
686 1 0 1 0 1
687 1 0 1 1 1
688 1 0 0 1 1
689 0 0 0 1 0
690 1 0 0 1 1
691 1 0 0 1 0
692 0 0 1 0 1
693 0 0 1 1 1
694 1 0 0 1 1
695 1 0 1 1 0
696 1 0 1 1 1
697 1 0 1 1 1
698 1 0 0 1 0
699 1 0 1 0 0
700 0 0 0 1 0
701 0 0 0 1 1
702 1 0 0 1 0
703 1 0 0 1 1
704 1 0 1 1 1
705 1 0 1 1 1
706 0 0 0 1 1
707 1 0 0 1 1
708 1 0 1 1 0
709 1 0 0 0 1
710 1 0 0 1 1
711 0 0 0 1 1
712 1 0 0 0 0
713 1 0 0 0 0
714 0 0 0 1 0
715 0 0 1 1 1
716 1 0 0 1 0
717 0 0 0 1 1
718 0 0 1 1 0
719 1 0 1 1 0
720 0 0 1 0 0
721 0 0 1 1 0
722 0 0 0 1 1
723 1 0 0 1 1
724 1 0 0 1 1
725 1 0 0 1 1
726 0 0 1 1 0
727 1 0 1 1 1
728 1 0 1 1 1
729 1 0 1 1 1
730 1 0 0 1 0
731 0 0 1 1 0
732 1 0 0 1 0
733 0 0 0 1 1
734 1 0 0 1 1
735 1 0 1 1 0
736 1 0 0 1 0
737 0 0 1 1 1
738 1 0 0 1 1
739 1 0 1 1 0
740 1 0 0 1 0
741 1 0 1 0 0
742 1 0 0 1 1
743 0 0 1 1 1
744 1 0 0 0 0
745 1 0 1 0 0
746 1 0 0 1 1
747 0 0 0 1 0
748 1 0 0 1 0
749 0 0 1 1 0
750 1 0 0 0 0
751 1 0 0 1 0
752 1 0 1 1 1
753 1 0 0 0 0
754 0 0 0 1 0
755 1 0 1 1 1
756 1 0 1 0 0
757 0 0 0 1 1
758 0 0 0 1 0
759 1 0 1 1 0
760 1 0 1 1 0
761 1 0 1 1 0
762 1 0 1 0 0
763 0 0 1 1 1
764 0 0 0 1 0
765 1 0 0 1 1
766 1 0 0 1 1
767 1 0 1 1 1
768 1 0 0 0 1
769 1 0 0 1 1
770 0 0 1 1 1
771 0 0 0 1 0
772 1 0 0 1 0
773 0 0 1 1 1
774 1 0 0 0 0
775 1 0 0 1 1
776 0 0 0 1 1
777 0 0 0 1 1
778 0 0 0 1 1
779 1 0 0 1 1
780 0 0 1 1 1
781 0 0 0 1 1
782 0 0 1 1 0
783 0 0 1 1 1
784 1 0 0 1 0
785 1 0 1 0 1
786 0 0 0 1 1
787 1 0 0 0 1
788 0 0 1 1 0
789 1 0 0 1 0
790 0 0 0 0 0
791 0 0 1 1 0
792 1 0 1 1 1
793 0 0 1 1 1
794 1 0 0 1 0
795 1 0 0 1 1
796 1 0 1 1 1
797 1 0 0 0 0
798 0 0 0 1 0
799 0 0 0 1 1
800 0 0 0 1 1
801 1 0 1 0 1
802 1 0 0 0 0
803 1 0 0 1 0
804 1 0 1 1 1
805 0 0 0 1 1
806 1 0 1 1 0
807 1 0 0 1 0
808 0 0 1 0 0
809 1 0 0 1 0
810 1 0 0 1 0
811 1 0 1 1 1
812 0 0 0 1 1
813 0 0 0 1 1
814 1 0 1 0 0
815 0 0 1 1 1
816 1 0 1 1 1
817 1 0 1 0 0
818 1 0 0 1 0
819 1 0 0 0 1
820 1 0 0 1 1
821 1 0 1 0 1
822 0 0 1 1 1
823 1 0 0 1 1
824 1 0 1 0 1
825 0 0 0 1 1
826 0 0 0 1 0
827 1 0 1 0 1
828 0 0 0 0 1
829 1 0 1 1 1
830 0 0 0 1 1
831 0 0 1 0 0
832 1 0 1 1 1
833 0 0 0 1 0
834 1 0 1 1 0
835 0 0 1 1 1
836 0 0 0 1 1
837 1 0 0 1 1
838 0 0 0 1 0
839 1 0 0 1 1
840 0 0 0 1 1
841 1 0 0 1 1
842 1 0 0 1 1
843 0 0 0 1 0
844 1 0 0 1 0
845 1 0 1 0 0
846 0 0 0 0 1
847 1 0 1 1 1
848 1 0 1 0 1
849 1 0 0 0 0
850 0 0 1 1 1
851 1 0 0 0 1
852 0 0 0 1 1
853 1 0 1 1 1
854 0 0 0 0 0
855 0 0 1 1 1
856 1 0 0 1 1
857 0 0 0 0 0
858 0 0 1 1 1
859 1 0 1 0 0
860 0 0 0 0 1
861 0 0 1 1 0
862 1 0 0 0 0
863 1 0 0 1 0
864 1 0 0 0 1
865 1 0 0 1 1
866 0 0 1 1 1
867 0 0 1 1 0
868 1 0 0 1 0
869 1 0 0 1 0
870 1 0 1 1 1
871 1 0 0 1 1
872 1 0 1 1 0
873 0 0 0 1 0
874 1 0 1 1 1
875 1 0 0 1 0
876 0 0 0 1 1
877 0 0 0 1 0
878 0 0 0 0 1
879 1 0 1 1 0
880 0 0 1 1 1
881 1 0 1 1 0
882 0 0 1 1 0
883 1 0 0 1 1
884 0 0 1 1 0
885 1 0 0 1 1
886 0 0 0 1 0
887 1 0 1 1 1
888 1 0 0 1 0
889 1 0 1 1 1
890 1 0 1 1 1
891 1 0 0 0 0
892 1 0 1 1 1
893 1 0 0 0 1
894 1 0 0 1 1
895 1 0 0 0 0
896 0 0 1 1 0
897 1 0 0 1 0
898 1 0 1 1 1
899 0 0 0 1 0
900 0 0 0 0 1
901 0 0 0 0 1
902 1 0 1 1 1
903 1 0 0 0 1
904 0 0 0 1 0
905 0 0 1 1 1
906 0 0 0 1 1
907 0 0 0 1 1
908 1 0 1 0 1
909 1 0 0 0 1
910 1 0 0 1 1
911 0 0 0 0 1
912 0 0 1 1 1
913 0 0 1 1 0
914 1 0 0 0 1
915 1 0 0 0 0
916 1 0 0 1 0
917 1 0 0 1 1
918 0 0 0 1 1
919 0 0 0 1 1
920 0 0 0 1 0
921 0 0 0 1 0
922 1 0 1 0 0
923 1 0 0 1 1
924 0 0 0 1 1
925 1 0 1 1 1
926 0 0 1 1 1
927 0 0 1 1 0
928 1 0 1 1 1
929 1 0 1 1 1
930 0 0 0 1 0
931 0 0 1 1 0
932 1 0 0 1 1
933 1 0 1 1 0
934 0 0 0 1 0
935 1 0 1 0 0
936 1 0 1 1 0
937 1 0 1 0 1
938 0 0 1 1 1
939 1 0 0 0 1
940 1 0 1 1 1
941 1 0 0 1 0
942 0 0 0 1 1
943 0 0 1 0 0
944 0 0 1 1 1
945 1 0 0 1 0
946 1 0 1 1 0
947 0 0 1 1 1
948 0 0 0 1 0
949 0 0 0 1 0
950 1 0 0 0 1
951 1 0 0 1 1
952 0 0 0 1 1
953 1 0 0 1 1
954 0 0 1 1 1
955 1 0 0 0 1
956 1 0 0 1 1
957 1 0 1 1 0
958 1 0 1 1 1
959 0 0 1 1 0
960 1 0 0 1 1
961 0 0 0 1 1
962 0 0 1 1 1
963 0 0 1 1 0
964 1 0 0 0 1
965 0 0 0 0 0
966 1 0 1 1 0
967 0 0 1 0 1
968 1 0 1 1 0
969 0 0 0 1 1
970 0 0 0 1 1
971 1 0 1 1 1
972 1 0 0 1 1
973 0 0 1 1 1
974 0 0 0 1 1
975 1 0 0 0 1
976 1 0 1 0 1
977 1 0 0 1 1
978 0 0 0 1 1
979 1 0 0 1 1
980 0 0 1 1 1
981 1 0 0 0 1
982 1 0 1 0 0
983 1 0 0 1 0
984 1 0 0 1 0
985 1 0 1 1 1
986 1 0 0 1 0
987 0 0 0 1 0
988 0 0 1 1 1
989 0 0 0 1 1
990 0 0 1 1 1
991 1 0 0 1 1
992 1 0 0 1 0
993 1 0 0 1 0
994 0 0 1 1 1
995 0 0 0 1 1
996 1 0 0 1 1
997 1 0 0 0 0
998 0 0 1 1 1
999 1 0 1 1 1
1000 0 0 0 1 1
1001 1 0 1 1 0
1002 0 0 1 1 0
1003 1 0 0 1 0
1004 0 0 0 1 1
1005 1 0 0 0 0
1006 1 0 1 1 0
1007 1 0 1 1 0
1008 1 0 1 1 0
1009 1 0 0 1 1
1010 0 0 0 1 1
1011 0 0 1 1 0
1012 0 0 0 1 1
1013 1 0 0 1 1
1014 0 0 1 0 0
1015 1 0 1 1 0
1016 0 0 0 1 1
1017 0 0 0 1 0
1018 0 0 1 1 1
1019 1 0 0 0 1
1020 1 0 0 0 0
1021 1 0 0 1 0
1022 0 0 0 1 1
1023 0 0 1 1 1
1024 1 0 0 0 0
1025 0 0 1 0 1
1026 1 0 0 0 1
1027 1 0 0 1 1
1028 1 0 0 1 1
1029 1 0 0 1 0
1030 0 0 0 1 0
1031 0 0 0 1 1
1032 0 0 1 0 1
1033 1 0 0 1 0
1034 1 0 1 1 0
1035 1 0 1 1 0
1036 1 0 1 0 1
1037 0 0 1 0 0
1038 0 0 1 1 0
1039 1 0 1 1 0
1040 0 0 0 1 0
1041 1 0 1 1 0
1042 0 0 0 1 0
1043 0 0 0 1 1
1044 1 0 0 1 1
1045 0 0 0 1 1
1046 1 0 1 0 1
1047 1 0 1 1 1
1048 1 0 0 1 0
1049 1 0 1 1 1
1050 1 0 0 1 0
1051 1 0 0 0 1
1052 1 0 0 1 0
1053 1 0 1 1 0
1054 0 0 0 0 1
1055 0 0 1 1 1
1056 1 0 0 1 1
1057 1 0 0 1 0
1058 1 0 0 1 0
1059 1 0 1 1 1
1060 1 0 0 1 0
1061 0 0 0 0 0
1062 0 0 1 1 0
1063 1 0 0 1 1
1064 1 0 1 1 1
1065 1 0 1 1 0
1066 1 0 1 1 1
1067 1 0 0 1 0
1068 0 0 1 0 0
1069 1 0 1 1 0
1070 1 0 1 1 1
1071 1 0 0 0 0
1072 0 0 0 1 0
1073 1 0 0 0 0
1074 1 0 1 1 0
1075 0 0 0 1 1
1076 0 0 0 1 1
1077 1 0 0 0 0
1078 0 0 1 1 1
1079 1 0 0 1 0
1080 1 0 1 1 1
1081 1 0 1 1 1
1082 0 0 1 1 1
1083 1 0 1 1 0
1084 1 0 1 1 1
1085 1 0 1 1 1
1086 1 0 0 1 0
1087 1 0 0 1 1
1088 1 0 1 0 0
1089 0 0 1 1 1
1090 0 0 1 1 1
1091 0 0 0 0 0
1092 0 0 0 1 0
1093 1 0 0 1 1
1094 0 0 1 1 1
1095 1 0 0 1 0
1096 0 0 1 1 1
1097 0 0 1 1 0
1098 0 0 0 1 1
1099 1 0 0 1 0
1100 0 0 1 1 0
1101 0 0 1 1 1
1102 1 0 1 1 1
1103 0 0 0 0 0
1104 0 0 0 1 1
1105 0 0 1 1 0
1106 0 0 0 0 1
1107 0 0 1 0 0
1108 0 0 0 1 1
1109 0 0 0 1 1
1110 0 0 0 0 0
1111 0 0 1 0 1
1112 1 0 0 1 0
1113 1 0 1 1 1
1114 0 0 1 1 1
1115 0 0 0 0 0
1116 0 0 1 1 1
1117 0 0 0 0 1
1118 0 0 0 1 0
1119 1 0 0 1 0
1120 0 0 0 0 1
1121 0 0 0 0 1
1122 0 0 0 1 1
1123 0 0 0 0 1
1124 1 0 0 1 0
1125 1 0 0 1 1
1126 0 0 0 1 1
1127 0 0 0 1 1
1128 0 0 1 1 0
1129 0 0 1 1 0
1130 0 0 0 1 0
1131 0 0 1 1 1
1132 0 0 1 1 1
1133 0 0 1 0 0
1134 0 0 0 1 1
1135 1 0 1 0 0
1136 1 0 0 1 0
1137 1 0 0 1 0
1138 0 0 0 1 1
1139 1 0 1 0 1
1140 0 0 0 1 0
1141 0 0 1 1 0
1142 0 0 0 1 1
1143 0 0 1 0 0
1144 0 0 0 0 0
1145 0 0 0 1 1
1146 0 0 0 1 1
1147 1 0 1 1 1
1148 0 0 0 0 0
1149 1 0 0 0 0
1150 0 0 1 1 1
